aics_Processing,centerDeltaT,PhysicalSizeY,PhysicalSizeX,aics_xTile,aics_PhysicalSizeY,aics_PhysicalSizeX,aics_Model,aics_PhysicalSizeXUnit,centerExposureTime,aics_yTile,aics_SampleName,centerPositionY,centerPositionX,centerPositionZ,Type,aics_experiment,Name,centerTheC,DimensionOrder,centerPositionZUnit,aics_SampleType,aics_PixelType,aics_cameraID,ID,aics_Type,centerTheT,PhysicalSizeXUnit,centerPositionXUnit,PhysicalSizeYUnit,aics_Manufacturer,AcquisitionDate,BigEndian,aics_filePath,aics_SizeX,aics_SizeY,aics_imageObjectPosY,aics_imageObjectPosX,aics_imageObjectPosZ,centerExposureTimeUnit,aics_barcode,aics_well,aics_PhysicalSizeYUnit,SizeX,SizeY,SizeZ,Interleaved,aics_imageAbsPosY,aics_imageAbsPosX,aics_imageAbsPosZ,SignificantBits
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6.5,6.5,,mum,,,BackgroundTransmitted_10x,,,,,BackgroundTransmitted_10x.czexp,,,,,background,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\References/BackgroundTransmitted_10x_x-500.0_y-500.0_z10.czi,1024,1024,,,,,3500000093,C6,mum,,,,,17500.0,44500.0,49.96,
,,,,,6.5,6.5,,mum,,,BackgroundTransmitted_10x,,,,,BackgroundTransmitted_10x.czexp,,,,,background,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\References/BackgroundTransmitted_10x_x-500.0_y500.0_z10.czi,1024,1024,,,,,3500000093,C6,mum,,,,,18500.0,44500.0,49.96,
,,,,,6.5,6.5,,mum,,,BackgroundTransmitted_10x,,,,,BackgroundTransmitted_10x.czexp,,,,,background,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\References/BackgroundTransmitted_10x_x500.0_y-500.0_z10.czi,1024,1024,,,,,3500000093,C6,mum,,,,,17500.0,45500.0,49.96,
,,,,,6.5,6.5,,mum,,,BackgroundTransmitted_10x,,,,,BackgroundTransmitted_10x.czexp,,,,,background,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\References/BackgroundTransmitted_10x_x500.0_y500.0_z10.czi,1024,1024,,,,,3500000093,C6,mum,,,,,18500.0,45500.0,49.96,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,-1,6.5,6.5,,mum,,0,,,,,,ImageFindWellCenter_10x.czexp,,,,,,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\References/WellEdge_B3_-1_0.czi,1024,1024,,,,,3500000093,B3,mum,,,,,11321.382,15572.767,8677.81,
,,,,1,6.5,6.5,,mum,,0,,,,,,ImageFindWellCenter_10x.czexp,,,,,,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\References/WellEdge_B3_1_0.czi,1024,1024,,,,,3500000093,B3,mum,,,,,11321.382,21706.767,8677.81,
,,,,0,6.5,6.5,,mum,,1,,,,,,ImageFindWellCenter_10x.czexp,,,,,,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\References/WellEdge_B3_0_1.czi,1024,1024,,,,,3500000093,B3,mum,,,,,8254.382,18639.767,8677.81,
,,,,0,6.5,6.5,,mum,,-1,,,,,,ImageFindWellCenter_10x.czexp,,,,,,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\References/WellEdge_B3_0_-1.czi,1024,1024,,,,,3500000093,B3,mum,,,,,14388.382,18639.767,8677.81,
,,,,-1,6.5,6.5,,mum,,0,,,,,,ImageFindWellCenter_10x.czexp,,,,,,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\References/WellEdge_B10_-1_0.czi,1024,1024,,,,,3500000093,B10,mum,,,,,11281.655,87477.101,8669.87,
,,,,1,6.5,6.5,,mum,,0,,,,,,ImageFindWellCenter_10x.czexp,,,,,,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_1_17\References/WellEdge_B10_1_0.czi,1024,1024,,,,,3500000093,B10,mum,,,,,11281.655,93611.101,8669.87,
