aics_Processing,centerDeltaT,PhysicalSizeY,PhysicalSizeX,aics_xTile,aics_PhysicalSizeY,aics_PhysicalSizeX,aics_Model,aics_PhysicalSizeXUnit,centerExposureTime,aics_yTile,aics_SampleName,centerPositionY,centerPositionX,centerPositionZ,Type,aics_experiment,Name,centerTheC,DimensionOrder,centerPositionZUnit,aics_SampleType,aics_PixelType,aics_cameraID,ID,aics_Type,centerTheT,PhysicalSizeXUnit,centerPositionXUnit,PhysicalSizeYUnit,aics_Manufacturer,AcquisitionDate,BigEndian,aics_filePath,aics_SizeX,aics_SizeY,aics_imageObjectPosY,aics_imageObjectPosX,aics_imageObjectPosZ,centerExposureTimeUnit,aics_barcode,aics_well,aics_PhysicalSizeYUnit,SizeX,SizeY,SizeZ,Interleaved,aics_imageAbsPosY,aics_imageAbsPosX,aics_imageAbsPosZ,SignificantBits
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6.5,6.5,,mum,,,,,,,,ScanWell.czexp,,,,,,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_4_27\C4_x0_y0_z0.czi,1024,1024,,,,,,,mum,,,,,21447.0,33891.0,9604.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6.5,6.5,,mum,,,,,,,,ScanWell.czexp,,,,,,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_4_27\C4_x0_y0_z0.czi,1024,1024,,,,,,,mum,,,,,21447.0,33891.0,9604.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,6.5,6.5,,mum,,,,,,,,ScanWell.czexp,,,,,,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_4_27\C4_x0_y0_z0.czi,1024,1024,,,,,,,mum,,,,,21447.0,33891.0,9604.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,-1,6.5,6.5,,mum,,0,,,,,,ImageFindWellCenter_10x.czexp,,,,,,np.int32,sCMOS_mCherry,,sCMOS,,,,,Hamamatsu,,,D:\Winfried\Production\Daily\2017_4_27\References/WellEdge_B2_-1_0.czi,1024,1024,,,,,3500000860,B2,mum,,,,,12529.685,12921.142,10132.03,
